wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1154.7671,0,0.13895,4.7614e-07,6.7105,6.8494
1154.7772,0,0.13895,4.7611e-07,6.7112,6.8502
1154.7872,0,0.13895,4.7607e-07,6.712,6.851
1154.7972,0,0.13895,4.7604e-07,6.7128,6.8517
1154.8073,0,0.13895,4.76e-07,6.7135,6.8525
1154.8173,0,0.13895,4.7597e-07,6.7143,6.8533
1154.8273,0,0.13895,4.7593e-07,6.7151,6.854
1154.8374,0,0.13895,4.759e-07,6.7158,6.8548
1154.8474,0,0.13895,4.7586e-07,6.7166,6.8556
1154.8574,0,0.13895,4.7583e-07,6.7174,6.8563
1154.8675,0,0.13895,4.7579e-07,6.7181,6.8571
1154.8775,0,0.13895,4.7576e-07,6.7189,6.8579
1154.8876,0,0.13895,4.7573e-07,6.7197,6.8586
1154.8976,0,0.13895,4.7569e-07,6.7204,6.8594
1154.9076,0,0.13895,4.7566e-07,6.7212,6.8602
1154.9177,0,0.13895,4.7562e-07,6.722,6.8609
1154.9277,0,0.13895,4.7559e-07,6.7227,6.8617
1154.9377,0,0.13895,4.7555e-07,6.7235,6.8625
1154.9478,0,0.13895,4.7552e-07,6.7243,6.8632
1154.9578,0,0.13895,4.7548e-07,6.725,6.864
1154.9678,0,0.13895,4.7545e-07,6.7258,6.8648
1154.9779,0,0.13895,4.7541e-07,6.7266,6.8655
1154.9879,0,0.13895,4.7538e-07,6.7273,6.8663
1154.9980,0,0.13895,4.7534e-07,6.7281,6.8671
1155.0080,0,0.13895,4.7531e-07,6.7289,6.8678
1155.0180,0,0.13895,4.7527e-07,6.7296,6.8686
1155.0281,0,0.13895,4.7523e-07,6.7304,6.8693
1155.0381,0,0.13895,4.752e-07,6.7312,6.8701
1155.0481,0,0.13895,4.7516e-07,6.7319,6.8709
1155.0582,0,0.13895,4.7513e-07,6.7327,6.8716
1155.0682,0,0.13895,4.7509e-07,6.7334,6.8724
1155.0782,0,0.13895,4.7506e-07,6.7342,6.8732
1155.0883,0,0.13895,4.7502e-07,6.735,6.8739
1155.0983,0,0.13895,4.7499e-07,6.7357,6.8747
1155.1083,0,0.13895,4.7495e-07,6.7365,6.8754
1155.1184,0,0.13895,4.7492e-07,6.7373,6.8762
1155.1284,0,0.13895,4.7488e-07,6.738,6.877
1155.1385,0,0.13895,4.7485e-07,6.7388,6.8777
1155.1485,0,0.13895,4.7481e-07,6.7395,6.8785
1155.1585,0,0.13895,4.7478e-07,6.7403,6.8793
1155.1686,0,0.13895,4.7474e-07,6.7411,6.88
1155.1786,0,0.13895,4.7471e-07,6.7418,6.8808
