wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1155.5299,0,0.0588,4.6497e-07,6.6473,6.7061
1155.5399,0,0.0588,4.6494e-07,6.6481,6.7069
1155.5499,0,0.0588,4.6491e-07,6.6489,6.7077
1155.5600,0,0.0588,4.6488e-07,6.6498,6.7086
1155.5700,0,0.0588,4.6485e-07,6.6506,6.7094
1155.5800,0,0.0588,4.6482e-07,6.6514,6.7102
1155.5901,0,0.0588,4.6479e-07,6.6522,6.711
1155.6001,0,0.0588,4.6476e-07,6.6531,6.7119
1155.6102,0,0.0588,4.6473e-07,6.6539,6.7127
1155.6202,0,0.0588,4.6469e-07,6.6547,6.7135
1155.6302,0,0.0588,4.6466e-07,6.6556,6.7144
1155.6403,0,0.0588,4.6463e-07,6.6564,6.7152
1155.6503,0,0.0588,4.646e-07,6.6572,6.716
1155.6603,0,0.0588,4.6457e-07,6.6581,6.7169
1155.6704,0,0.0588,4.6454e-07,6.6589,6.7177
1155.6804,0,0.0588,4.6451e-07,6.6597,6.7185
1155.6904,0,0.0588,4.6448e-07,6.6605,6.7193
1155.7005,0,0.0588,4.6445e-07,6.6614,6.7202
1155.7105,0,0.0588,4.6442e-07,6.6622,6.721
1155.7205,0,0.0588,4.6439e-07,6.663,6.7218
1155.7306,0,0.0588,4.6436e-07,6.6639,6.7227
1155.7406,0,0.0588,4.6433e-07,6.6647,6.7235
1155.7507,0,0.0588,4.643e-07,6.6655,6.7243
1155.7607,0,0.0588,4.6426e-07,6.6663,6.7251
1155.7707,0,0.0588,4.6423e-07,6.6672,6.726
1155.7808,0,0.0588,4.642e-07,6.668,6.7268
1155.7908,0,0.0588,4.6417e-07,6.6688,6.7276
1155.8008,0,0.0588,4.6414e-07,6.6697,6.7285
1155.8109,0,0.0588,4.6411e-07,6.6705,6.7293
1155.8209,0,0.0588,4.6408e-07,6.6713,6.7301
1155.8309,0,0.0588,4.6405e-07,6.6721,6.7309
1155.8410,0,0.0588,4.6401e-07,6.673,6.7318
1155.8510,0,0.0588,4.6398e-07,6.6738,6.7326
1155.8611,0,0.0588,4.6395e-07,6.6746,6.7334
1155.8711,0,0.0588,4.6392e-07,6.6755,6.7343
1155.8811,0,0.0588,4.6389e-07,6.6763,6.7351
1155.8912,0,0.0588,4.6386e-07,6.6771,6.7359
1155.9012,0,0.0588,4.6383e-07,6.6779,6.7367
1155.9112,0,0.0588,4.6379e-07,6.6788,6.7376
1155.9213,0,0.0588,4.6376e-07,6.6796,6.7384
1155.9313,0,0.0588,4.6373e-07,6.6804,6.7392
1155.9413,0,0.0588,4.637e-07,6.6812,6.74
1155.9514,0,0.0588,4.6367e-07,6.6821,6.7409
1155.9614,0,0.0588,4.6364e-07,6.6829,6.7417
1155.9714,0,0.0588,4.636e-07,6.6837,6.7425
1155.9815,0,0.0588,4.6357e-07,6.6845,6.7434
1155.9915,0,0.0588,4.6354e-07,6.6854,6.7442
1156.0016,0,0.0588,4.6351e-07,6.6862,6.745
1156.0116,0,0.0588,4.6348e-07,6.687,6.7458
1156.0216,0,0.0588,4.6344e-07,6.6878,6.7466
1156.0317,0,0.0588,4.6341e-07,6.6886,6.7474
1156.0417,0,0.0588,4.6338e-07,6.6894,6.7482
1156.0517,0,0.0588,4.6335e-07,6.6902,6.749
1156.0618,0,0.0588,4.6332e-07,6.691,6.7498
1156.0718,0,0.0588,4.6328e-07,6.6918,6.7506
1156.0818,0,0.0588,4.6325e-07,6.6926,6.7514
1156.0919,0,0.0588,4.6322e-07,6.6934,6.7522
1156.1019,0,0.0588,4.6319e-07,6.6942,6.753
1156.1120,0,0.0588,4.6315e-07,6.695,6.7538
1156.1220,0,0.0588,4.6312e-07,6.6958,6.7546
1156.1320,0,0.0588,4.6309e-07,6.6966,6.7554
1156.1421,0,0.0588,4.6306e-07,6.6974,6.7562
1156.1521,0,0.0588,4.6302e-07,6.6982,6.757
1156.1621,0,0.0588,4.6299e-07,6.699,6.7578
1156.1722,0,0.0588,4.6296e-07,6.6998,6.7586
1156.1822,0,0.0588,4.6293e-07,6.7006,6.7594
1156.1922,0,0.0588,4.6289e-07,6.7014,6.7602
1156.2023,0,0.0588,4.6286e-07,6.7022,6.761
1156.2123,0,0.0588,4.6283e-07,6.703,6.7618
1156.2224,0,0.0588,4.628e-07,6.7038,6.7626
1156.2324,0,0.0588,4.6276e-07,6.7046,6.7634
1156.2424,0,0.0588,4.6273e-07,6.7054,6.7642
1156.2525,0,0.0588,4.627e-07,6.7062,6.765
1156.2625,0,0.0588,4.6266e-07,6.707,6.7658
1156.2725,0,0.0588,4.6263e-07,6.7078,6.7666
1156.2826,0,0.0588,4.626e-07,6.7086,6.7674
1156.2926,0,0.0588,4.6256e-07,6.7094,6.7682
1156.3026,0,0.0588,4.6253e-07,6.7102,6.769
1156.3127,0,0.0588,4.625e-07,6.711,6.7698
1156.3227,0,0.0588,4.6246e-07,6.7118,6.7706
1156.3327,0,0.0588,4.6243e-07,6.7126,6.7714
1156.3428,0,0.0588,4.624e-07,6.7134,6.7722
1156.3528,0,0.0588,4.6236e-07,6.7141,6.7729
1156.3629,0,0.0588,4.6233e-07,6.7149,6.7737
1156.3729,0,0.0588,4.623e-07,6.7157,6.7745
1156.3829,0,0.0588,4.6226e-07,6.7165,6.7753
1156.3930,0,0.0588,4.6223e-07,6.7173,6.7761
1156.4030,0,0.0588,4.622e-07,6.7181,6.7769
1156.4130,0,0.0588,4.6216e-07,6.7189,6.7777
1156.4231,0,0.0588,4.6213e-07,6.7197,6.7785
1156.4331,0,0.0588,4.621e-07,6.7205,6.7793
1156.4431,0,0.0588,4.6206e-07,6.7213,6.7801
1156.4532,0,0.0588,4.6203e-07,6.7221,6.7809
1156.4632,0,0.0588,4.62e-07,6.7229,6.7817
1156.4733,0,0.0588,4.6196e-07,6.7237,6.7825
1156.4833,0,0.0588,4.6193e-07,6.7245,6.7833
1156.4933,0,0.0588,4.6189e-07,6.7253,6.7841
1156.5034,0,0.0588,4.6186e-07,6.7261,6.7849
1156.5134,0,0.0588,4.6183e-07,6.7269,6.7857
1156.5234,0,0.0588,4.6179e-07,6.7277,6.7865
1156.5335,0,0.0588,4.6176e-07,6.7285,6.7873
1156.5435,0,0.0588,4.6172e-07,6.7293,6.7881
1156.5535,0,0.0588,4.6169e-07,6.7301,6.7889
1156.5636,0,0.0588,4.6165e-07,6.7309,6.7897
